,squareMeters,numberOfRooms,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price,category,PoolAndYard
24,13386,fifty-one,90,87978,4,6,1993,False,False,2885,1149,904,True,4,1342509.3,Basic,no pool and no yard
25,20883,fifty-six,54,85377,5,9,2018,False,False,9982,8142,670,True,10,2091505.8,Basic,no pool and no yard
26,95121,forty-six,3,9382,7,9,1994,False,False,615,1221,328,False,10,9515440.4,Basic,has pool and no yard
27,6071,seventy-two,14,8410,2,6,2003,True,True,3306,3635,295,False,2,612471.3,Basic,no pool and has yard
28,11844,forty-three,55,46144,6,5,1993,True,False,5292,8233,395,False,10,1189939.3,Basic,no pool and no yard
29,52078,seven,73,20372,10,4,2016,True,True,1864,2049,558,False,5,5217708.6,Luxury,has pool and has yard
30,25897,ninety-eight,92,20344,2,4,1993,False,True,9799,9569,116,True,10,2598763.3,Basic,no pool and has yard
31,85443,forty,54,339,3,1,2021,True,False,3056,8928,292,True,2,8555234.1,Luxury,has pool and has yard
32,11412,seventy-eight,79,73807,1,5,2009,True,True,6899,8997,695,False,0,1145642.9,Basic,no pool and no yard
33,97550,eighty-nine,98,78155,2,5,2014,True,False,5391,897,388,False,0,9765099.4,Luxury,has pool and has yard
34,76485,forty-seven,9,90254,2,9,2008,True,False,2860,3129,982,False,1,7653300.8,Basic,no pool and has yard
35,26169,twenty-nine,62,66489,9,7,1993,False,True,7918,187,919,True,9,2622399.3,Basic,no pool and no yard
36,24239,eighty-seven,91,73056,4,7,1998,False,False,6656,7149,698,False,3,2427801.8,Basic,no pool and has yard
37,36239,eight,24,66771,7,6,1990,False,True,6679,6528,798,True,5,3627708.0,Basic,has pool and no yard
38,10500,eighty-eight,49,10533,10,1,2013,True,True,4170,5501,422,False,5,1057021.3,Basic,has pool and no yard
39,87060,twenty-seven,91,51803,8,10,2000,False,False,6629,435,512,False,7,8711426.0,Basic,has pool and no yard
40,66683,nineteen,6,50801,6,2,2001,False,False,7473,796,237,True,3,6677649.1,Basic,has pool and has yard
41,66569,fifty-nine,56,15574,7,9,2016,True,True,2020,7188,269,True,10,6667802.6,Luxury,has pool and has yard
42,84559,twenty-nine,69,53057,7,7,2000,True,False,3573,9556,918,True,8,8460604.0,Basic,has pool and no yard
43,28749,thirty-nine,53,80821,6,5,1996,True,False,8113,2352,982,True,3,2877997.6,Basic,has pool and no yard
44,76091,thirty-eight,32,59451,5,8,2016,True,False,8150,6037,930,False,7,7614076.6,Basic,no pool and has yard
45,92696,forty-nine,38,74381,9,2,2021,False,False,1559,5111,957,True,2,9272740.1,Basic,no pool and has yard
46,46988,sixty-six,27,4863,9,10,1991,True,True,8339,6331,874,True,4,4707341.1,Luxury,has pool and has yard
47,48062,twenty-two,4,28104,1,10,2008,True,False,7908,552,817,True,1,4809993.8,Basic,has pool and no yard
48,5767,ninety-seven,11,44551,7,3,1998,True,False,2516,5601,307,True,4,586742.8,Luxury,has pool and has yard
49,59800,forty-seven,27,44815,6,9,2021,False,False,5075,3104,864,False,4,5984462.1,Basic,has pool and no yard
50,54836,twenty-five,53,64601,10,5,2020,True,False,5278,1059,313,True,6,5492532.0,Basic,has pool and no yard
51,54318,ten,52,76737,4,2,1998,True,True,9580,3787,227,True,1,5444967.8,Luxury,has pool and has yard
52,70021,fifty-two,28,95678,4,6,1992,False,True,4480,6919,680,True,1,7005572.2,Basic,no pool and has yard
53,54368,eleven,20,55761,3,7,2021,False,False,231,1939,223,False,8,5446398.1,Basic,has pool and has yard
54,31421,twenty-nine,68,67505,5,3,1999,True,True,8949,2080,630,False,5,3147829.9,Basic,has pool and no yard
55,63053,six,28,45312,3,1,1997,False,True,8414,6270,939,True,8,6315375.7,Basic,has pool and has yard
56,4187,eighty-nine,17,7488,1,6,1994,True,False,186,2627,559,True,2,421906.4,Basic,has pool and no yard
57,33108,eighty-two,83,52015,6,10,2016,True,False,6250,8751,552,True,2,3316069.6,Basic,has pool and no yard
58,64393,eight,51,95335,4,1,1990,True,False,3835,2403,559,False,6,6441378.0,Basic,no pool and no yard
59,93876,sixty,70,5484,2,1,1999,True,True,4086,5991,494,True,8,9390891.9,Basic,has pool and no yard
60,67040,sixty,22,1690,4,8,1993,True,False,4817,5222,927,False,0,6714247.3,Luxury,has pool and has yard
61,47938,seventeen,68,64247,7,1,2013,False,True,327,209,352,True,8,4797883.3,Basic,no pool and no yard
62,39090,fifty-seven,74,2922,4,9,2010,False,False,3572,8722,811,True,6,3917691.0,Basic,no pool and has yard
63,43609,sixty-six,55,6739,4,9,2005,False,True,3388,2353,120,True,7,4364910.5,Basic,no pool and no yard
64,41998,seventy-four,17,32039,6,1,1990,True,False,6838,4925,828,False,9,4203344.0,Basic,no pool and has yard
65,36496,nine,47,51526,5,1,2017,False,True,2768,6291,230,True,0,3656368.7,Basic,has pool and no yard
66,84016,fifteen,55,63595,1,7,2016,True,False,3284,9879,641,False,2,8410054.6,Basic,no pool and has yard
67,3087,twenty-seven,94,9283,3,10,2005,True,True,5866,3557,199,True,1,321717.5,Luxury,has pool and has yard
68,89768,forty-eight,17,71000,6,9,1993,False,True,2485,108,864,False,7,8980518.3,Basic,has pool and has yard
69,30226,seventy-four,87,71053,10,9,2007,False,False,515,13,223,False,4,3039243.7,Basic,has pool and has yard
70,58478,five,35,5898,6,10,2016,False,False,8366,4799,979,True,7,5853710.6,Basic,has pool and no yard
71,66621,forty-eight,89,52165,10,1,1995,True,True,5024,8103,388,True,4,6666403.5,Basic,no pool and no yard
72,73314,forty-three,38,49895,10,1,2018,False,True,3281,5020,968,False,8,7336538.8,Basic,has pool and no yard
73,59972,twenty-eight,18,32083,9,8,2021,True,True,8384,7226,226,True,4,6000826.1,Basic,has pool and no yard
74,71591,twenty,58,46834,7,4,1998,False,False,6486,3310,366,False,0,7165980.8,Basic,no pool and has yard
75,92462,fifty-two,46,22405,9,6,2019,True,False,9584,8587,677,False,8,9257840.9,Luxury,has pool and has yard
76,52325,sixty,24,76804,6,5,1992,True,False,8987,3149,808,True,4,5238533.2,Luxury,has pool and has yard
77,67311,sixty-seven,10,45626,3,3,1990,True,True,6928,7808,774,True,5,6732249.0,Basic,no pool and no yard
78,45050,ninety-nine,87,20318,4,8,2013,True,False,5218,8217,144,False,3,4508695.3,Basic,has pool and no yard
79,61534,seventy-three,97,22943,9,5,2001,False,False,9265,8974,755,True,6,6159875.1,Basic,no pool and has yard
80,84091,fifty,72,22718,7,5,1993,False,False,2668,4669,766,False,8,8414104.3,Basic,has pool and no yard
81,77579,sixty-nine,97,88798,6,1,1999,True,False,4850,5648,144,True,8,7767797.9,Luxury,has pool and has yard
82,25204,thirty-one,37,87552,4,10,2020,True,False,6560,4287,116,False,6,2530488.0,Luxury,has pool and has yard
83,42059,forty-six,62,43289,6,3,2017,True,True,8827,1853,860,True,3,4212125.7,Basic,has pool and no yard
84,38430,forty-three,51,3406,6,4,2021,False,True,1214,606,289,False,8,3846214.1,Basic,has pool and no yard
85,7069,four,89,55300,9,2,2009,True,True,7499,8969,493,True,3,709107.9,Basic,no pool and no yard
86,34780,seventy-five,9,67297,4,5,2019,False,True,3033,6475,800,True,4,3480536.9,Basic,has pool and no yard
87,12757,one hundred,7,19550,7,8,2020,True,True,6795,9983,738,False,5,1277834.0,Basic,no pool and has yard
88,33749,seventy-four,38,73976,10,7,1999,True,True,1729,7952,616,True,2,3380855.9,Basic,has pool and no yard
89,600,thirty-seven,43,72736,4,7,2011,True,False,6738,5603,866,False,1,63402.1,Basic,no pool and has yard
90,7239,sixty-one,83,26435,4,7,1994,True,False,7782,2518,986,False,4,733776.4,Basic,no pool and has yard
91,34919,twenty,84,60113,5,1,1997,False,False,6566,628,408,False,2,3499532.7,Basic,has pool and has yard
92,25614,twenty-nine,27,52970,4,1,1994,True,False,700,377,519,True,9,2563970.4,Basic,no pool and no yard
93,51434,sixty-four,23,79754,10,2,2012,True,True,2080,9575,753,False,7,5146226.2,Basic,no pool and no yard
94,78960,fifty-five,76,23408,8,4,2015,True,True,7126,5012,974,True,0,7900996.5,Basic,has pool and no yard
95,70751,sixty-four,41,92268,1,9,2006,True,False,1506,590,794,True,7,7084110.6,Luxury,has pool and has yard
96,81870,sixty,100,58048,3,8,2020,False,False,3632,5960,723,True,3,8198185.0,Basic,has pool and no yard
97,91559,thirty-six,21,82521,6,2,2007,False,True,788,4788,132,True,8,9161130.7,Basic,has pool and no yard
98,72098,nine,67,91168,2,3,2014,True,False,9080,9356,740,True,9,7216904.4,Basic,has pool and no yard
99,23177,nineteen,52,69373,4,1,2003,False,False,2706,4593,648,True,6,2318776.3,Basic,no pool and no yard
100,39517,ninety-two,85,51212,4,6,2019,False,True,7618,1172,810,True,9,3953491.9,Basic,no pool and no yard
101,55232,twenty-three,8,849,8,3,1991,False,False,1492,5697,625,False,6,5524015.1,Basic,no pool and no yard
102,53735,forty-nine,92,2423,4,7,2006,False,False,8654,9588,290,True,8,5384554.6,Basic,has pool and no yard
103,67753,seventy-two,78,31721,3,9,1995,True,True,7480,2068,929,False,6,6789580.5,Luxury,has pool and has yard
104,1450,fifty-nine,1,2317,10,9,2018,True,True,1285,8119,869,True,10,146181.8,Basic,no pool and no yard
105,82141,ninety-three,61,74213,3,7,2019,True,True,8785,6602,968,True,4,8225970.9,Luxury,has pool and has yard
106,17868,seventy-three,35,48674,4,9,2013,False,False,1718,5498,710,True,2,1792308.3,Basic,no pool and has yard
107,71397,seventy-one,93,68199,3,10,1995,True,True,3477,5530,342,False,2,7145471.5,Basic,no pool and no yard
108,32623,thirty-five,14,80204,10,6,2003,True,False,4633,7551,126,False,8,3267852.3,Basic,has pool and no yard
109,23841,seventy-one,25,32106,3,7,2010,True,True,7590,5224,564,True,1,2390804.0,Luxury,has pool and has yard
110,16495,ninety-four,6,90448,3,10,1991,True,True,2214,1464,929,True,7,1650711.1,Basic,no pool and no yard
111,39109,twenty-four,67,74477,4,3,2002,True,False,1642,2925,139,False,9,3917652.2,Basic,no pool and has yard
112,65151,eighty-one,3,66191,7,9,1991,False,False,3218,9119,849,False,4,6522781.1,Basic,has pool and has yard
113,61484,ninety-one,94,87015,8,8,2013,True,False,5486,3641,766,False,3,6154833.3,Basic,no pool and has yard
114,57160,fifteen,43,40786,8,8,2002,False,False,4018,4871,836,True,2,5724102.2,Basic,has pool and has yard
115,13346,fifty-seven,57,30010,6,8,2021,True,True,2525,545,809,False,8,1336414.1,Basic,no pool and no yard
116,27351,seventy-seven,36,98465,4,1,1997,True,True,1150,3100,812,True,0,2738851.7,Basic,no pool and no yard
117,18466,fifty,60,89670,5,2,2020,False,False,2475,1376,568,False,5,1849227.0,Basic,has pool and no yard
118,45441,twenty-nine,66,21239,3,5,2004,False,True,8121,2996,853,False,6,4552319.4,Basic,no pool and has yard
119,55933,fifteen,97,5800,9,8,2001,True,True,7369,6739,686,True,6,5599976.1,Basic,no pool and no yard
120,81936,sixty-eight,92,6143,3,1,2011,True,False,6393,9082,734,False,0,8198107.1,Basic,no pool and no yard
121,18237,seventy,74,25093,9,6,2011,False,False,7173,9144,498,True,9,1833338.1,Basic,no pool and has yard
122,35631,fifty-four,7,77355,10,6,2018,True,True,216,1339,775,True,10,3568002.8,Basic,no pool and has yard
123,99683,twelve,77,18300,5,8,2002,False,True,4034,2877,787,True,6,9977000.2,Basic,no pool and has yard
124,47664,forty-four,77,98008,6,3,2010,True,True,2662,5433,417,False,6,4770073.0,Basic,no pool and no yard
125,62887,forty-five,7,91125,4,3,1993,True,False,292,744,675,False,4,6293710.3,Basic,has pool and no yard
126,18470,twenty,73,9406,3,1,2000,True,False,4089,9245,905,True,6,1852115.0,Luxury,has pool and has yard
127,36031,sixty-three,47,74698,9,8,2001,False,True,9701,1325,514,False,4,3612495.1,Basic,no pool and has yard
128,22776,eighty-four,5,82401,9,9,1993,False,True,2422,1918,544,True,7,2278599.3,Basic,no pool and no yard
129,14830,eighty-one,1,17641,1,10,1992,True,False,6151,1651,243,False,9,1487488.2,Basic,no pool and has yard
130,43944,forty,69,5581,10,5,2012,False,True,7466,6556,735,True,6,4403326.2,Basic,no pool and has yard
131,73062,thirty-four,38,44770,4,8,2016,False,False,9823,7174,728,True,0,7313447.6,Basic,has pool and has yard
132,84284,seventy-six,39,55723,5,1,1998,False,False,4500,4877,480,False,6,8432554.8,Basic,no pool and no yard
133,9619,sixty-six,91,82543,9,5,1991,False,True,1069,3823,927,False,10,969806.1,Basic,no pool and has yard
134,11410,ninety-six,96,85454,8,3,2019,False,True,1466,3642,933,True,1,1150663.9,Basic,has pool and no yard
135,29855,sixty-three,23,78080,5,5,2000,False,True,3861,7495,204,False,6,2987645.0,Basic,no pool and no yard
136,46716,ninety-four,58,25303,8,5,2008,False,True,1361,6855,409,False,3,4674140.8,Basic,no pool and no yard
137,77046,sixty-nine,85,43517,4,2,1992,False,True,8135,1401,648,False,3,7714235.2,Basic,no pool and has yard
138,58855,one,66,20127,3,7,2004,False,True,2267,3070,531,False,3,5892518.4,Basic,no pool and no yard
139,69165,sixty-six,74,51371,4,4,2009,True,True,1543,9736,939,True,9,6926290.9,Basic,no pool and has yard
140,57915,twenty-five,84,87517,10,4,2007,True,True,3394,4287,640,False,5,5800324.7,Basic,has pool and no yard
141,66279,forty-seven,9,21934,3,2,2003,False,True,5079,3156,128,False,10,6631365.3,Basic,no pool and has yard
142,16068,twenty-one,13,21716,8,8,1991,True,True,8893,2564,463,False,2,1611707.1,Basic,no pool and has yard
143,74325,fifty,58,91978,8,10,1994,False,True,4008,1952,275,False,5,7443433.4,Basic,has pool and has yard
144,35742,forty-six,47,84138,7,1,2014,True,True,1732,6019,243,False,7,3581003.4,Luxury,has pool and has yard
145,9026,fifty-one,28,85842,1,5,2000,True,False,779,9037,482,False,10,904797.0,Basic,no pool and has yard
146,16899,nineteen,14,47328,2,4,2020,False,True,5710,907,302,True,7,1693690.0,Basic,has pool and no yard
147,99854,eighty-two,64,82741,3,8,2009,False,True,4827,2626,918,False,7,9989598.9,Basic,no pool and no yard
148,33743,fifty-six,29,21945,10,8,2006,False,True,7330,3012,345,False,6,3382812.6,Basic,has pool and has yard
149,72798,twenty-two,30,61212,9,3,2007,False,False,2209,2120,637,False,7,7290431.7,Basic,has pool and has yard
150,86492,twenty-one,86,42450,3,7,1992,True,False,7843,5348,463,False,0,8654049.2,Basic,no pool and no yard
151,38937,thirty-five,77,2867,2,6,2013,True,True,1312,1272,794,False,1,3901433.3,Basic,has pool and no yard
152,24762,twenty-two,62,50367,10,10,1999,True,True,5264,3986,502,True,1,2480900.9,Basic,has pool and no yard
153,91047,forty-five,65,41065,8,2,1999,False,False,7241,1060,757,True,1,9109264.9,Basic,no pool and no yard
154,55527,sixty-four,44,61931,4,2,2005,False,True,9385,9507,786,True,9,5557814.5,Basic,has pool and no yard
155,70606,seventeen,79,38,7,3,2017,True,False,4927,1285,197,False,5,7070662.7,Luxury,has pool and has yard
156,67327,forty-seven,87,26709,9,3,1990,False,True,1097,8551,964,False,10,6741466.0,Basic,no pool and no yard
157,6125,ninety,29,95979,1,2,2012,True,True,6423,7934,846,False,10,615143.2,Basic,has pool and no yard
158,71833,thirty-seven,51,58147,2,5,2013,False,False,3772,2045,580,True,6,7185318.3,Basic,has pool and no yard
159,20811,ninety-eight,71,91543,1,4,1995,False,True,112,53,586,False,3,2090690.5,Basic,has pool and has yard
160,7643,ninety-eight,63,5989,2,3,1999,True,False,2142,7748,983,True,7,765618.9,Basic,no pool and no yard
161,16669,ninety-five,81,15949,4,3,2007,False,True,6109,1409,239,True,1,1676719.7,Basic,has pool and has yard
162,84006,seventy-three,97,54296,4,7,2000,True,False,9698,6310,837,False,4,8409827.0,Luxury,has pool and has yard
163,34059,forty-nine,90,63489,4,8,1993,False,True,4138,5337,347,False,2,3412619.3,Basic,no pool and no yard
164,36131,ninety-five,88,72385,8,8,1991,True,False,1046,8463,331,False,8,3620939.1,Basic,no pool and no yard
165,8201,eighteen,66,38920,7,2,2007,False,False,4949,5811,185,True,6,826967.7,Basic,has pool and has yard
166,38398,eighty-four,22,44513,6,8,1994,True,False,1618,9458,404,False,8,3842545.4,Basic,no pool and no yard
167,38833,ten,14,28075,4,3,2014,True,True,1828,7626,462,True,8,3884619.4,Basic,no pool and no yard
168,41488,twenty-two,59,2019,9,1,2013,False,True,2090,4438,650,False,3,4151539.3,Basic,no pool and no yard
169,5205,two,15,71289,7,3,2005,False,False,8342,4705,742,False,0,521650.5,Basic,no pool and no yard
170,45066,twenty-eight,62,85825,9,5,2013,False,False,7092,6757,924,True,0,4508367.3,Basic,no pool and no yard
171,63875,fifty-three,14,54408,7,3,1999,True,False,4139,7178,152,False,6,6394774.9,Luxury,has pool and has yard
172,25052,eighty-eight,94,1083,8,6,2020,False,True,718,6346,703,False,10,2515214.0,Basic,no pool and no yard
173,51457,sixty-four,32,68294,3,10,2016,False,False,3016,1891,633,True,4,5150600.6,Basic,has pool and no yard
174,84396,sixty-four,96,88421,6,7,2015,True,True,7416,6190,593,True,2,8449333.5,Basic,no pool and no yard
175,64920,ninety-eight,63,1173,8,8,2016,True,False,2287,8181,426,True,6,6501809.6,Basic,has pool and no yard
176,9166,four,16,26610,4,1,2015,True,True,6838,9438,842,True,8,922847.5,Basic,no pool and has yard
177,85558,forty-eight,83,55318,2,9,2017,False,True,7997,655,374,True,0,8568781.7,Basic,no pool and has yard
178,87267,seventy-five,81,57714,6,10,2019,False,False,6899,1628,666,True,4,8731940.9,Basic,no pool and has yard
179,96091,one hundred,24,99874,10,3,1999,False,False,6546,4094,373,False,6,9615021.9,Basic,has pool and no yard
180,38003,ninety-eight,6,49191,8,10,2008,False,False,9981,6500,129,False,2,3803545.8,Basic,no pool and has yard
181,83120,ninety-seven,68,93953,6,6,2015,False,True,15,4581,481,False,1,8318749.5,Basic,has pool and no yard
182,20468,one hundred,34,63924,6,4,2003,False,True,9659,6233,802,False,0,2049846.3,Basic,no pool and has yard
183,75152,ninety-one,37,61836,3,3,2018,True,False,4717,5685,412,False,2,7518709.8,Basic,no pool and has yard
184,32688,nine,18,86166,6,5,2013,False,True,9089,6967,398,True,7,3274057.3,Basic,has pool and has yard
185,45868,seventy-two,69,33082,5,7,1994,True,True,7668,9908,216,False,10,4600708.4,Luxury,has pool and has yard
186,73900,sixty-nine,36,57473,4,3,2018,False,False,9847,6227,140,True,4,7394635.8,Basic,has pool and no yard
187,16000,forty-one,25,86898,9,4,2007,False,True,7228,764,138,False,6,1606948.7,Basic,has pool and has yard
188,1423,fifty-nine,30,21687,8,4,1993,True,True,3900,1985,879,False,8,149234.3,Basic,has pool and no yard
189,29951,thirty-seven,13,56604,6,8,1995,True,True,5692,9582,762,False,0,3002371.5,Luxury,has pool and has yard
190,40231,eighty-four,41,64474,4,5,1999,False,False,5700,303,758,True,0,4030226.9,Basic,has pool and no yard
191,59517,thirty-eight,69,93928,8,8,2003,True,False,6831,2741,727,True,6,5958698.3,Basic,no pool and has yard
192,98969,twenty-six,69,36941,10,8,2003,False,False,3744,5809,992,True,5,9902968.3,Basic,no pool and has yard
193,99177,forty-nine,41,5100,6,10,2021,True,True,6326,6738,429,True,3,9919217.1,Basic,no pool and no yard
194,89157,forty-six,42,34482,3,6,2009,False,True,3510,781,290,True,4,8920282.9,Basic,no pool and no yard
195,67429,sixty,24,89820,8,7,1991,True,False,3578,3600,858,True,1,6749654.1,Basic,has pool and no yard
196,38431,fifty-seven,60,69199,9,3,2020,True,False,4121,3307,374,False,8,3848467.0,Basic,no pool and has yard
197,72495,seventy-six,59,8723,8,10,1994,True,False,3413,2245,254,True,0,7259025.4,Luxury,has pool and has yard
198,85362,seventy-seven,19,40604,6,5,1997,False,False,7728,8516,186,True,4,8541211.7,Basic,no pool and has yard
199,28597,ninety-three,47,16237,3,9,1990,False,False,4492,270,714,False,8,2863386.0,Basic,no pool and no yard
200,13687,thirty-six,93,2400,3,5,2001,True,True,4148,6383,590,False,5,1376329.1,Luxury,has pool and has yard
201,50479,three,73,39939,5,9,2020,False,False,4149,6785,188,False,5,5057657.0,Basic,has pool and no yard
202,98121,thirty-eight,57,20289,7,4,1995,False,True,6028,8690,275,False,2,9817494.5,Basic,has pool and no yard
203,57736,sixteen,21,83855,9,6,1999,False,True,6099,1511,588,False,2,5775940.9,Basic,no pool and no yard
204,30356,forty,85,13378,7,1,1992,False,False,7660,774,551,False,8,3039209.2,Basic,no pool and no yard
205,21141,thirty-eight,80,65184,10,3,1998,True,True,169,8853,697,True,10,2126023.8,Basic,has pool and no yard
206,98122,thirty-four,7,80176,7,4,2009,False,True,7125,7272,186,True,5,9813433.9,Basic,no pool and no yard
207,34746,twelve,15,57668,10,5,2000,False,False,2840,3137,377,False,4,3478332.0,Basic,no pool and has yard
208,17297,forty-three,19,99289,7,5,2012,True,True,3216,5586,243,True,2,1738971.2,Luxury,has pool and has yard
209,80324,forty-seven,7,20394,3,2,1993,True,True,325,3203,109,False,9,8039714.3,Luxury,has pool and has yard
210,15815,thirteen,2,2179,7,1,2019,True,False,637,7880,552,False,4,1585031.9,Luxury,has pool and has yard
211,1066,five,46,65388,4,9,2017,False,True,2723,9228,524,True,5,114605.7,Basic,has pool and has yard
212,79275,ninety-five,67,13000,5,9,1995,False,True,3689,7215,132,True,3,7930383.5,Basic,has pool and no yard
213,20658,seven,48,80216,4,10,1997,False,False,8080,9560,341,True,10,2076936.7,Basic,has pool and has yard
214,8687,eighty-eight,64,2052,3,6,1993,True,True,7414,6075,710,True,3,877525.3,Basic,has pool and no yard
215,69638,forty-two,63,89878,1,2,1991,True,False,4703,7032,937,True,6,6977654.1,Luxury,has pool and has yard
216,94036,eighteen,19,79418,10,9,2001,True,True,5913,178,986,False,10,9406163.1,Basic,no pool and no yard
217,60889,seventy-two,87,55928,6,8,2018,True,False,7437,4833,131,False,7,6091341.8,Basic,no pool and no yard
218,11680,twenty-one,14,5324,10,1,1992,True,False,7478,6846,921,True,6,1169431.2,Basic,no pool and no yard
219,11458,ninety-six,31,95286,9,5,2010,True,False,1365,3757,321,False,6,1154040.0,Luxury,has pool and has yard
220,20397,sixty-seven,79,29406,8,7,1997,False,False,705,4914,898,True,3,2042985.7,Basic,no pool and no yard
221,83206,thirty-four,51,27565,9,9,1999,True,False,9170,9694,327,False,9,8326302.9,Basic,no pool and has yard
222,8951,eleven,63,32412,1,10,1997,True,False,6189,2892,626,False,1,904889.7,Basic,no pool and has yard
223,22854,forty-one,89,74420,4,7,2001,False,True,6216,521,481,True,0,2292467.1,Basic,no pool and has yard
224,46042,fifty-two,74,45861,9,8,2015,True,False,65,9506,946,False,5,4605791.5,Basic,no pool and no yard
225,93506,twenty,28,7068,8,9,2017,True,False,5297,1410,306,True,8,9356982.7,Basic,no pool and has yard
226,58748,seventy-six,40,20761,2,5,2010,False,True,1627,996,639,False,2,5875981.0,Basic,no pool and no yard
227,715,seventy-one,23,33439,7,3,2010,False,True,8609,3736,740,True,8,74252.0,Basic,no pool and no yard
228,55327,twenty-two,59,76622,1,2,1993,True,True,7163,9333,504,True,8,5540589.3,Basic,no pool and has yard
229,63631,eighty-four,12,31269,6,10,2000,False,False,239,1952,411,True,4,6369055.0,Basic,no pool and has yard
230,77915,ninety-nine,21,63942,5,10,2018,False,True,1081,9015,448,False,4,7793915.8,Basic,no pool and no yard
231,91804,five,81,87339,3,9,1999,False,True,8554,1275,930,True,8,9182083.9,Basic,no pool and no yard
232,57295,ninety-five,69,32081,2,2,1994,True,True,9771,9634,951,True,7,5731510.4,Basic,no pool and no yard
233,61057,sixty-five,77,17051,9,8,1998,True,False,9762,545,369,True,6,6114671.8,Basic,no pool and has yard
234,91626,eighty-three,55,59173,4,5,1991,True,True,2684,784,101,True,8,9169068.1,Basic,no pool and has yard
235,29356,ninety-six,46,4864,4,9,1990,True,True,1780,393,413,True,3,2948071.0,Luxury,has pool and has yard
236,27134,sixty-two,2,1498,7,7,2003,False,False,3718,9140,357,True,3,2715604.3,Basic,no pool and has yard
237,1682,sixty-five,79,7602,2,3,2017,False,True,2590,425,659,True,4,174918.7,Basic,no pool and has yard
238,98868,forty-one,67,85917,7,3,2021,True,True,2146,1077,623,True,3,9892300.1,Basic,has pool and no yard
239,23898,sixty-two,93,73176,9,9,1996,False,True,8256,4656,136,False,1,2399286.6,Basic,no pool and has yard
240,83110,forty-three,75,55046,7,10,2001,True,False,4108,5663,380,True,7,8321631.1,Basic,no pool and has yard
241,71154,sixty-seven,53,8762,2,6,2021,True,True,8418,7187,706,False,8,7122699.1,Basic,has pool and no yard
242,90841,forty-eight,15,25300,6,5,2003,False,False,3333,149,842,False,9,9086177.3,Basic,no pool and has yard
243,68416,eighty-seven,48,60979,8,7,2010,False,False,1811,6776,424,False,6,6846709.0,Basic,no pool and has yard
244,47585,ninety-five,5,81532,5,1,1993,True,True,5101,89,639,False,0,4759724.3,Basic,no pool and no yard
